timestamp,snapshotDate,productId,productName,category,unitPrice,currentInventory,physicalInventory,historicalSales,salesVelocity7d,salesVelocity30d,inventoryAdjustments,replenishmentDelay,exceptionFrequency,shrinkageIndicator,reorderPoint,safetyStock,isAnomalyLabel,stockoutWithinNext7Days,stockoutOccurred,velocityRatio,velocityAcceleration,leadTimeDemand,daysOfSupply,stockToRopRatio,netAvailableBuffer,safetyStockRatio,businessImpactScore,discrepancyMagnitude
2026-01-04 12:00:00,2026-01-04,129,USB-C Fast Charging Cable 2m (Batch 1),Electronics & Accessories,398.15,118,118,7.0,7.5,7.3,-33,11,7,0.1428,98,18,1,0,0,1.027,0.027,82.5,15.73,1.204,35.5,6.556,2986.12,0
2026-01-04 15:00:00,2026-01-04,130,Wireless Optical Mouse (Batch 1),Electronics & Accessories,832.06,141,141,4.0,8.5,3.8,-24,13,3,0.0384,58,9,1,0,0,2.237,1.237,110.5,16.59,2.431,30.5,15.666,7072.51,0
2026-01-04 18:00:00,2026-01-04,131,Organic Whole Milk 1L (Batch 2),Dairy & Fresh,67.86,165,165,21.7,11.9,20.0,0,5,1,0.0343,150,50,0,0,0,0.595,-0.405,59.5,13.87,1.1,105.5,3.3,807.53,0
2026-01-04 21:00:00,2026-01-04,132,Greek Yogurt 400g (Batch 2),Dairy & Fresh,121.57,8,8,6.4,7.2,6.3,0,2,2,0.044,27,15,0,1,1,1.143,0.143,14.4,1.11,0.296,-6.4,0.533,875.3,0
2026-01-05 00:00:00,2026-01-05,133,Artisan Sourdough Bread (Batch 2),Bakery,90.37,2,2,12.9,12.7,12.9,0,1,2,0.051,44,32,0,1,1,0.984,-0.016,12.7,0.16,0.045,-10.7,0.062,1147.7,0
2026-01-05 03:00:00,2026-01-05,134,Sparkling Spring Water 500ml (Batch 2),Beverages,36.27,391,391,33.1,29.1,35.0,-43,3,7,0.0258,192,87,1,0,0,0.831,-0.169,87.3,13.44,2.036,303.7,4.494,1055.46,0
2026-01-05 06:00:00,2026-01-05,135,Cold Pressed Orange Juice 1L (Batch 2),Beverages,188.24,82,82,8.9,9.2,8.5,0,7,2,0.0209,80,21,0,0,0,1.082,0.082,64.4,8.91,1.025,17.6,3.905,1731.81,0
2026-01-05 09:00:00,2026-01-05,136,Premium Arabica Coffee 250g (Batch 2),Packaged Foods,464.14,184,7,6.5,8.1,6.6,-15,5,6,0.139,49,16,1,1,1,1.227,0.227,40.5,22.72,3.755,143.5,11.5,3759.53,177
2026-01-05 12:00:00,2026-01-05,137,Organic Rolled Oats 1kg (Batch 2),Packaged Foods,220.67,19,19,15.5,15.8,15.4,0,5,0,0.0143,115,38,0,1,1,1.026,0.026,79.0,1.2,0.165,-60.0,0.5,3486.59,0
2026-01-05 15:00:00,2026-01-05,138,Dark Chocolate Bar 70% (Batch 2),Snacks & Confectionery,161.39,234,234,15.0,13.9,15.2,0,5,1,0.0759,114,38,0,0,0,0.914,-0.086,69.5,16.83,2.053,164.5,6.158,2243.32,0
2026-01-05 18:00:00,2026-01-05,139,Almond Granola Bites (Batch 2),Snacks & Confectionery,272.64,43,43,7.7,9.3,8.0,0,9,0,0.0129,92,20,0,1,1,1.162,0.162,83.7,4.62,0.467,-40.7,2.15,2535.55,0
2026-01-05 21:00:00,2026-01-05,140,Antibacterial Hand Wash 500ml (Batch 2),Personal Care,142.05,1096,1096,22.9,19.6,24.5,0,10,0,0.0076,306,61,0,0,0,0.8,-0.2,196.0,55.92,3.582,900.0,17.967,2784.18,0
2026-01-06 00:00:00,2026-01-06,141,Hydrating Shampoo 400ml (Batch 2),Personal Care,306.69,43,43,4.0,3.7,4.4,0,7,0,0.0109,41,11,0,0,0,0.841,-0.159,25.9,11.62,1.049,17.1,3.909,1134.75,0
2026-01-06 03:00:00,2026-01-06,142,Biodegradable Dish Soap 1L (Batch 2),Household & Cleaning,187.63,127,127,12.1,19.4,11.3,0,7,5,0.0287,107,28,0,1,1,1.717,0.717,135.8,6.55,1.187,-8.8,4.536,3640.02,0
2026-01-06 06:00:00,2026-01-06,143,Microfiber Cleaning Cloths 4-Pack (Batch 2),Household & Cleaning,194.55,192,192,6.5,6.5,6.5,-2,13,0,0.0587,100,16,0,0,0,1.0,0.0,84.5,29.54,1.92,107.5,12.0,1264.58,0
2026-01-06 09:00:00,2026-01-06,144,USB-C Fast Charging Cable 2m (Batch 2),Electronics & Accessories,359.74,225,225,9.0,8.4,9.2,3,12,0,0.0393,133,23,0,0,0,0.913,-0.087,100.8,26.79,1.692,124.2,9.783,3021.82,0
2026-01-06 12:00:00,2026-01-06,145,Wireless Optical Mouse (Batch 2),Electronics & Accessories,779.22,212,212,8.9,9.9,9.8,-2,12,0,0.0071,141,24,0,0,0,1.01,0.01,118.8,21.41,1.504,93.2,8.833,7714.28,0
2026-01-06 15:00:00,2026-01-06,146,Organic Whole Milk 1L (Batch 3),Dairy & Fresh,63.35,219,219,23.3,25.9,25.5,-2,3,0,0.0167,139,63,0,0,0,1.016,0.016,77.7,8.46,1.576,141.3,3.476,1640.76,0
2026-01-06 18:00:00,2026-01-06,147,Greek Yogurt 400g (Batch 3),Dairy & Fresh,122.15,182,182,21.5,23.4,20.6,0,4,3,0.0282,133,51,0,0,0,1.136,0.136,93.6,7.78,1.368,88.4,3.569,2858.31,0
2026-01-06 21:00:00,2026-01-06,148,Artisan Sourdough Bread (Batch 3),Bakery,108.65,10,10,25.8,22.7,26.1,-10,1,2,0.0721,91,65,0,1,1,0.87,-0.13,22.7,0.44,0.11,-12.7,0.154,2466.36,0
2026-01-07 00:00:00,2026-01-07,149,Sparkling Spring Water 500ml (Batch 3),Beverages,44.21,708,708,26.0,29.1,26.5,0,20,2,0.0164,596,66,0,0,0,1.098,0.098,582.0,24.33,1.188,126.0,10.727,1286.51,0
2026-01-07 03:00:00,2026-01-07,150,Cold Pressed Orange Juice 1L (Batch 3),Beverages,191.26,104,104,12.3,13.2,12.1,0,3,1,0.0334,66,30,0,0,0,1.091,0.091,39.6,7.88,1.576,64.4,3.467,2524.63,0
2026-01-07 06:00:00,2026-01-07,151,Premium Arabica Coffee 250g (Batch 3),Packaged Foods,475.08,303,303,9.0,10.1,8.5,0,11,2,0.0081,114,21,0,0,0,1.188,0.188,111.1,30.0,2.658,191.9,14.429,4798.31,0
2026-01-07 09:00:00,2026-01-07,152,Organic Rolled Oats 1kg (Batch 3),Packaged Foods,206.69,40,40,23.3,21.0,21.1,0,8,1,0.0761,220,52,0,1,1,0.995,-0.005,168.0,1.9,0.182,-128.0,0.769,4340.49,0
2026-01-07 12:00:00,2026-01-07,153,Dark Chocolate Bar 70% (Batch 3),Snacks & Confectionery,144.2,34,34,26.9,27.0,26.8,0,3,4,0.017,147,67,0,1,1,1.007,0.007,81.0,1.26,0.231,-47.0,0.507,3893.4,0
2026-01-07 15:00:00,2026-01-07,154,Almond Granola Bites (Batch 3),Snacks & Confectionery,217.82,347,28,15.2,15.9,14.0,-16,10,5,0.2111,175,35,1,1,1,1.136,0.136,159.0,21.82,1.983,188.0,9.914,3463.34,319
2026-01-07 18:00:00,2026-01-07,155,Antibacterial Hand Wash 500ml (Batch 3),Personal Care,155.71,129,20,19.9,18.3,18.2,-16,8,7,0.2706,190,45,1,1,1,1.005,0.005,146.4,7.05,0.679,-17.4,2.867,2849.49,109
2026-01-07 21:00:00,2026-01-07,156,Hydrating Shampoo 400ml (Batch 3),Personal Care,318.41,119,119,8.1,8.5,8.8,-2,8,1,0.0149,92,22,0,0,0,0.966,-0.034,68.0,14.0,1.293,51.0,5.409,2706.48,0
2026-01-08 00:00:00,2026-01-08,157,Biodegradable Dish Soap 1L (Batch 3),Household & Cleaning,176.33,135,135,8.5,9.3,8.8,0,6,0,0.0638,74,22,0,0,0,1.057,0.057,55.8,14.52,1.824,79.2,6.136,1639.87,0
2026-01-08 03:00:00,2026-01-08,158,Microfiber Cleaning Cloths 4-Pack (Batch 3),Household & Cleaning,186.09,96,96,6.4,6.7,5.9,0,7,2,0.0115,55,14,0,0,0,1.136,0.136,46.9,14.33,1.745,49.1,6.857,1246.8,0
2026-01-08 06:00:00,2026-01-08,159,USB-C Fast Charging Cable 2m (Batch 3),Electronics & Accessories,403.23,4,4,16.2,15.1,16.5,0,14,3,0.0081,272,41,0,1,1,0.915,-0.085,211.4,0.26,0.015,-207.4,0.098,6088.77,0
2026-01-08 09:00:00,2026-01-08,160,Wireless Optical Mouse (Batch 3),Electronics & Accessories,719.35,7,7,3.5,3.1,3.9,0,20,0,0.0602,87,9,0,1,1,0.795,-0.205,62.0,2.26,0.08,-55.0,0.778,2229.98,0
2026-01-08 12:00:00,2026-01-08,161,Organic Whole Milk 1L (Batch 4),Dairy & Fresh,64.05,264,264,29.3,33.2,31.5,0,3,1,0.0356,172,78,0,0,0,1.054,0.054,99.6,7.95,1.535,164.4,3.385,2126.46,0
2026-01-08 15:00:00,2026-01-08,162,Greek Yogurt 400g (Batch 4),Dairy & Fresh,108.69,117,117,14.7,16.6,14.9,0,3,1,0.0185,81,37,0,0,0,1.114,0.114,49.8,7.05,1.444,67.2,3.162,1804.25,0
2026-01-08 18:00:00,2026-01-08,163,Artisan Sourdough Bread (Batch 4),Bakery,107.74,90,90,15.8,16.1,14.8,0,1,1,0.1407,51,37,0,1,1,1.088,0.088,16.1,5.59,1.765,73.9,2.432,1734.61,0
2026-01-08 21:00:00,2026-01-08,164,Sparkling Spring Water 500ml (Batch 4),Beverages,42.33,277,277,28.5,29.9,30.5,0,6,2,0.0279,259,76,0,0,0,0.98,-0.02,179.4,9.26,1.069,97.6,3.645,1265.67,0
2026-01-09 00:00:00,2026-01-09,165,Cold Pressed Orange Juice 1L (Batch 4),Beverages,190.32,20,20,7.3,7.3,7.0,0,1,1,0.0171,24,17,0,1,1,1.043,0.043,7.3,2.74,0.833,12.7,1.176,1389.34,0
2026-01-09 03:00:00,2026-01-09,166,Premium Arabica Coffee 250g (Batch 4),Packaged Foods,496.0,27,27,6.4,6.9,6.8,0,7,1,0.0917,64,17,0,1,1,1.015,0.015,48.3,3.91,0.422,-21.3,1.588,3422.4,0
2026-01-09 06:00:00,2026-01-09,167,Organic Rolled Oats 1kg (Batch 4),Packaged Foods,238.47,76,76,21.9,21.4,20.1,0,6,0,0.0444,170,50,0,1,1,1.065,0.065,128.4,3.55,0.447,-52.4,1.52,5103.26,0
2026-01-09 09:00:00,2026-01-09,168,Dark Chocolate Bar 70% (Batch 4),Snacks & Confectionery,180.81,474,474,21.1,18.6,21.5,0,4,2,0.0335,139,53,0,0,0,0.865,-0.135,74.4,25.48,3.41,399.6,8.943,3363.07,0
2026-01-09 12:00:00,2026-01-09,169,Almond Granola Bites (Batch 4),Snacks & Confectionery,274.7,31,31,11.8,11.0,11.9,0,3,1,0.0243,64,29,0,1,1,0.924,-0.076,33.0,2.82,0.484,-2.0,1.069,3021.7,0
2026-01-09 15:00:00,2026-01-09,170,Antibacterial Hand Wash 500ml (Batch 4),Personal Care,162.3,199,199,14.5,15.6,15.6,0,6,1,0.0903,132,39,0,0,0,1.0,0.0,93.6,12.76,1.508,105.4,5.103,2531.88,0
2026-01-09 18:00:00,2026-01-09,171,Hydrating Shampoo 400ml (Batch 4),Personal Care,348.5,2,2,10.9,11.9,10.3,0,2,2,0.0224,45,25,0,1,1,1.155,0.155,23.8,0.17,0.044,-21.8,0.08,4147.15,0
2026-01-09 21:00:00,2026-01-09,172,Biodegradable Dish Soap 1L (Batch 4),Household & Cleaning,194.11,46,46,8.2,8.5,7.6,0,7,2,0.0703,72,19,0,1,1,1.118,0.118,59.5,5.41,0.639,-13.5,2.421,1649.94,0
2026-01-10 00:00:00,2026-01-10,173,Microfiber Cleaning Cloths 4-Pack (Batch 4),Household & Cleaning,195.3,347,347,11.0,11.6,11.9,0,6,0,0.1393,100,29,0,0,0,0.975,-0.025,69.6,29.91,3.47,277.4,11.965,2265.48,0
2026-01-10 03:00:00,2026-01-10,174,USB-C Fast Charging Cable 2m (Batch 4),Electronics & Accessories,451.13,204,204,12.8,11.0,12.2,-5,9,2,0.1146,139,30,0,0,0,0.902,-0.098,99.0,18.55,1.468,105.0,6.8,4962.43,0
2026-01-10 06:00:00,2026-01-10,175,Wireless Optical Mouse (Batch 4),Electronics & Accessories,876.45,36,36,7.4,7.0,7.1,0,9,1,0.0206,80,17,0,1,1,0.986,-0.014,63.0,5.14,0.45,-27.0,2.118,6135.15,0
2026-01-10 09:00:00,2026-01-10,176,Organic Whole Milk 1L (Batch 5),Dairy & Fresh,62.17,776,776,31.2,28.6,28.7,0,5,0,0.0376,214,71,0,0,0,0.997,-0.003,143.0,27.13,3.626,633.0,10.93,1778.06,0
2026-01-10 12:00:00,2026-01-10,177,Greek Yogurt 400g (Batch 5),Dairy & Fresh,136.4,73,73,19.1,16.7,18.5,-5,5,1,0.1287,138,46,0,1,1,0.903,-0.097,83.5,4.37,0.529,-10.5,1.587,2277.88,0
2026-01-10 15:00:00,2026-01-10,178,Artisan Sourdough Bread (Batch 5),Bakery,98.75,189,189,22.2,21.3,23.2,-34,5,7,0.0493,174,58,1,0,0,0.918,-0.082,106.5,8.87,1.086,82.5,3.259,2103.38,0
2026-01-10 18:00:00,2026-01-10,179,Sparkling Spring Water 500ml (Batch 5),Beverages,38.1,532,532,29.6,33.4,27.3,-2,10,2,0.0515,341,68,0,0,0,1.223,0.223,334.0,15.93,1.56,198.0,7.824,1272.54,0
2026-01-10 21:00:00,2026-01-10,180,Cold Pressed Orange Juice 1L (Batch 5),Beverages,163.4,117,117,16.0,7.0,14.6,-5,7,1,0.0142,138,36,0,0,0,0.479,-0.521,49.0,16.71,0.848,68.0,3.25,1143.8,0
2026-01-11 00:00:00,2026-01-11,181,Premium Arabica Coffee 250g (Batch 5),Packaged Foods,417.49,74,74,8.9,8.6,9.7,-2,5,1,0.072,72,24,0,0,0,0.887,-0.113,43.0,8.6,1.028,31.0,3.083,3590.41,0
2026-01-11 03:00:00,2026-01-11,182,Organic Rolled Oats 1kg (Batch 5),Packaged Foods,194.91,119,119,10.4,9.8,10.0,0,8,1,0.0396,105,25,0,0,0,0.98,-0.02,78.4,12.14,1.133,40.6,4.76,1910.12,0
2026-01-11 06:00:00,2026-01-11,183,Dark Chocolate Bar 70% (Batch 5),Snacks & Confectionery,177.17,278,278,26.5,25.0,26.1,0,10,1,0.0453,326,65,0,0,0,0.958,-0.042,250.0,11.12,0.853,28.0,4.277,4429.25,0
2026-01-11 09:00:00,2026-01-11,184,Almond Granola Bites (Batch 5),Snacks & Confectionery,218.74,198,198,7.6,7.9,7.3,0,11,1,0.005,98,18,0,0,0,1.082,0.082,86.9,25.06,2.02,111.1,11.0,1728.05,0
2026-01-11 12:00:00,2026-01-11,185,Antibacterial Hand Wash 500ml (Batch 5),Personal Care,160.16,40,40,12.2,12.9,11.1,0,12,1,0.0283,160,27,0,1,1,1.162,0.162,154.8,3.1,0.25,-114.8,1.481,2066.06,0
2026-01-11 15:00:00,2026-01-11,186,Hydrating Shampoo 400ml (Batch 5),Personal Care,320.34,327,327,10.5,15.1,10.5,0,6,3,0.1851,89,26,0,0,0,1.438,0.438,90.6,21.66,3.674,236.4,12.577,4837.13,0
2026-01-11 18:00:00,2026-01-11,187,Biodegradable Dish Soap 1L (Batch 5),Household & Cleaning,189.4,18,3,18.8,20.8,19.1,-19,5,7,0.1981,142,47,1,1,1,1.089,0.089,104.0,0.87,0.127,-86.0,0.383,3939.52,15
2026-01-11 21:00:00,2026-01-11,188,Microfiber Cleaning Cloths 4-Pack (Batch 5),Household & Cleaning,185.28,77,77,7.4,8.2,7.4,0,6,0,0.162,62,18,0,0,0,1.108,0.108,49.2,9.39,1.242,27.8,4.278,1519.3,0
2026-01-12 00:00:00,2026-01-12,189,USB-C Fast Charging Cable 2m (Batch 5),Electronics & Accessories,396.05,221,221,8.2,4.1,7.5,0,21,1,0.1011,175,18,0,0,0,0.547,-0.453,86.1,53.9,1.263,134.9,12.278,1623.8,0
2026-01-12 03:00:00,2026-01-12,190,Wireless Optical Mouse (Batch 5),Electronics & Accessories,787.5,418,418,6.3,6.2,6.5,0,17,0,0.0051,126,16,0,0,0,0.954,-0.046,105.4,67.42,3.317,312.6,26.125,4882.5,0
2026-01-12 06:00:00,2026-01-12,191,Organic Whole Milk 1L (Batch 6),Dairy & Fresh,74.17,411,411,35.3,31.4,37.3,0,2,1,0.0621,167,93,0,0,0,0.842,-0.158,62.8,13.09,2.461,348.2,4.419,2328.94,0
2026-01-12 09:00:00,2026-01-12,192,Greek Yogurt 400g (Batch 6),Dairy & Fresh,119.6,270,270,19.7,20.1,21.5,0,3,1,0.0294,117,53,0,0,0,0.935,-0.065,60.3,13.43,2.308,209.7,5.094,2403.96,0
2026-01-12 12:00:00,2026-01-12,193,Artisan Sourdough Bread (Batch 6),Bakery,101.95,35,35,5.9,5.5,5.5,0,1,5,0.0726,18,13,0,1,1,1.0,0.0,5.5,6.36,1.944,29.5,2.692,560.72,0
2026-01-12 15:00:00,2026-01-12,194,Sparkling Spring Water 500ml (Batch 6),Beverages,40.08,322,322,35.2,43.0,38.4,-2,2,1,0.0412,172,96,0,0,0,1.12,0.12,86.0,7.49,1.872,236.0,3.354,1723.44,0
2026-01-12 18:00:00,2026-01-12,195,Cold Pressed Orange Juice 1L (Batch 6),Beverages,202.77,110,110,9.5,10.9,9.7,0,4,3,0.0594,62,24,0,0,0,1.124,0.124,43.6,10.09,1.774,66.4,4.583,2210.19,0
2026-01-12 21:00:00,2026-01-12,196,Premium Arabica Coffee 250g (Batch 6),Packaged Foods,460.88,11,11,6.3,6.7,5.7,3,2,4,0.0399,25,14,0,1,1,1.175,0.175,13.4,1.64,0.44,-2.4,0.786,3087.9,0
2026-01-13 00:00:00,2026-01-13,197,Organic Rolled Oats 1kg (Batch 6),Packaged Foods,214.93,455,455,12.3,11.0,12.8,0,9,1,0.0131,147,32,0,0,0,0.859,-0.141,99.0,41.36,3.095,356.0,14.219,2364.23,0
2026-01-13 03:00:00,2026-01-13,198,Dark Chocolate Bar 70% (Batch 6),Snacks & Confectionery,178.01,95,95,16.1,16.6,15.4,-18,7,5,0.0607,145,38,1,1,1,1.078,0.078,116.2,5.72,0.655,-21.2,2.5,2954.97,0
2026-01-13 06:00:00,2026-01-13,199,Almond Granola Bites (Batch 6),Snacks & Confectionery,217.89,2,2,9.8,10.4,10.5,0,3,1,0.0449,57,26,0,1,1,0.99,-0.01,31.2,0.19,0.035,-29.2,0.077,2266.06,0
2026-01-13 09:00:00,2026-01-13,200,Antibacterial Hand Wash 500ml (Batch 6),Personal Care,157.29,126,126,18.9,21.0,19.5,0,17,1,0.0755,379,48,0,1,1,1.077,0.077,357.0,6.0,0.332,-231.0,2.625,3303.09,0
2026-01-13 12:00:00,2026-01-13,201,Hydrating Shampoo 400ml (Batch 6),Personal Care,350.51,21,1,10.0,9.7,10.4,-10,7,10,0.2257,98,26,1,1,1,0.933,-0.067,67.9,2.16,0.214,-46.9,0.808,3399.95,20
2026-01-13 15:00:00,2026-01-13,202,Biodegradable Dish Soap 1L (Batch 6),Household & Cleaning,196.96,79,79,7.9,8.7,8.6,0,9,7,0.0342,98,21,0,0,0,1.012,0.012,78.3,9.08,0.806,0.7,3.762,1713.55,0
2026-01-13 18:00:00,2026-01-13,203,Microfiber Cleaning Cloths 4-Pack (Batch 6),Household & Cleaning,190.83,25,25,8.3,8.3,7.5,0,3,0,0.0581,40,18,0,1,1,1.107,0.107,24.9,3.01,0.625,0.1,1.389,1583.89,0
2026-01-13 21:00:00,2026-01-13,204,USB-C Fast Charging Cable 2m (Batch 6),Electronics & Accessories,387.92,128,128,8.6,9.6,9.3,-40,15,4,0.0078,162,23,1,0,0,1.032,0.032,144.0,13.33,0.79,-16.0,5.565,3724.03,0
2026-01-14 00:00:00,2026-01-14,205,Wireless Optical Mouse (Batch 6),Electronics & Accessories,754.1,124,124,8.9,8.8,9.1,0,11,0,0.1319,122,22,0,0,0,0.967,-0.033,96.8,14.09,1.016,27.2,5.636,6636.08,0
2026-01-14 03:00:00,2026-01-14,206,Organic Whole Milk 1L (Batch 7),Dairy & Fresh,72.39,200,200,20.3,22.2,21.7,0,3,1,0.0868,119,54,0,0,0,1.023,0.023,66.6,9.01,1.681,133.4,3.704,1607.06,0
