timestamp,snapshotDate,productId,productName,category,unitPrice,currentInventory,physicalInventory,historicalSales,salesVelocity7d,salesVelocity30d,inventoryAdjustments,replenishmentDelay,exceptionFrequency,shrinkageIndicator,reorderPoint,safetyStock,isAnomalyLabel,stockoutWithinNext7Days,stockoutOccurred
2026-01-05 15:00:00,2026-01-05,138,Dark Chocolate Bar 70% (Batch 2),Snacks & Confectionery,161.39,234,234,15.0,13.9,15.2,0,5,1,0.0759,114,38,0,0,0
2026-01-05 18:00:00,2026-01-05,139,Almond Granola Bites (Batch 2),Snacks & Confectionery,272.64,43,43,7.7,9.3,8.0,0,9,0,0.0129,92,20,0,1,1
2026-01-05 21:00:00,2026-01-05,140,Antibacterial Hand Wash 500ml (Batch 2),Personal Care,142.05,1096,1096,22.9,19.6,24.5,0,10,0,0.0076,306,61,0,0,0
2026-01-06 00:00:00,2026-01-06,141,Hydrating Shampoo 400ml (Batch 2),Personal Care,306.69,43,43,4.0,3.7,4.4,0,7,0,0.0109,41,11,0,0,0
2026-01-06 03:00:00,2026-01-06,142,Biodegradable Dish Soap 1L (Batch 2),Household & Cleaning,187.63,127,127,12.1,19.4,11.3,0,7,5,0.0287,107,28,0,1,1
2026-01-06 06:00:00,2026-01-06,143,Microfiber Cleaning Cloths 4-Pack (Batch 2),Household & Cleaning,194.55,192,192,6.5,6.5,6.5,-2,13,0,0.0587,100,16,0,0,0
2026-01-06 09:00:00,2026-01-06,144,USB-C Fast Charging Cable 2m (Batch 2),Electronics & Accessories,359.74,225,225,9.0,8.4,9.2,3,12,0,0.0393,133,23,0,0,0
2026-01-06 12:00:00,2026-01-06,145,Wireless Optical Mouse (Batch 2),Electronics & Accessories,779.22,212,212,8.9,9.9,9.8,-2,12,0,0.0071,141,24,0,0,0
2026-01-06 15:00:00,2026-01-06,146,Organic Whole Milk 1L (Batch 3),Dairy & Fresh,63.35,219,219,23.3,25.9,25.5,-2,3,0,0.0167,139,63,0,0,0
2026-01-06 18:00:00,2026-01-06,147,Greek Yogurt 400g (Batch 3),Dairy & Fresh,122.15,182,182,21.5,23.4,20.6,0,4,3,0.0282,133,51,0,0,0
2026-01-06 21:00:00,2026-01-06,148,Artisan Sourdough Bread (Batch 3),Bakery,108.65,10,10,25.8,22.7,26.1,-10,1,2,0.0721,91,65,0,1,1
2026-01-07 00:00:00,2026-01-07,149,Sparkling Spring Water 500ml (Batch 3),Beverages,44.21,708,708,26.0,29.1,26.5,0,20,2,0.0164,596,66,0,0,0
2026-01-07 03:00:00,2026-01-07,150,Cold Pressed Orange Juice 1L (Batch 3),Beverages,191.26,104,104,12.3,13.2,12.1,0,3,1,0.0334,66,30,0,0,0
2026-01-07 06:00:00,2026-01-07,151,Premium Arabica Coffee 250g (Batch 3),Packaged Foods,475.08,303,303,9.0,10.1,8.5,0,11,2,0.0081,114,21,0,0,0
2026-01-07 09:00:00,2026-01-07,152,Organic Rolled Oats 1kg (Batch 3),Packaged Foods,206.69,40,40,23.3,21.0,21.1,0,8,1,0.0761,220,52,0,1,1
2026-01-07 12:00:00,2026-01-07,153,Dark Chocolate Bar 70% (Batch 3),Snacks & Confectionery,144.2,34,34,26.9,27.0,26.8,0,3,4,0.017,147,67,0,1,1
2026-01-07 15:00:00,2026-01-07,154,Almond Granola Bites (Batch 3),Snacks & Confectionery,217.82,347,28,15.2,15.9,14.0,-16,10,5,0.2111,175,35,1,1,1
2026-01-07 18:00:00,2026-01-07,155,Antibacterial Hand Wash 500ml (Batch 3),Personal Care,155.71,129,20,19.9,18.3,18.2,-16,8,7,0.2706,190,45,1,1,1
2026-01-07 21:00:00,2026-01-07,156,Hydrating Shampoo 400ml (Batch 3),Personal Care,318.41,119,119,8.1,8.5,8.8,-2,8,1,0.0149,92,22,0,0,0
2026-01-08 00:00:00,2026-01-08,157,Biodegradable Dish Soap 1L (Batch 3),Household & Cleaning,176.33,135,135,8.5,9.3,8.8,0,6,0,0.0638,74,22,0,0,0
2026-01-08 03:00:00,2026-01-08,158,Microfiber Cleaning Cloths 4-Pack (Batch 3),Household & Cleaning,186.09,96,96,6.4,6.7,5.9,0,7,2,0.0115,55,14,0,0,0
2026-01-08 06:00:00,2026-01-08,159,USB-C Fast Charging Cable 2m (Batch 3),Electronics & Accessories,403.23,4,4,16.2,15.1,16.5,0,14,3,0.0081,272,41,0,1,1
2026-01-08 09:00:00,2026-01-08,160,Wireless Optical Mouse (Batch 3),Electronics & Accessories,719.35,7,7,3.5,3.1,3.9,0,20,0,0.0602,87,9,0,1,1
2026-01-08 12:00:00,2026-01-08,161,Organic Whole Milk 1L (Batch 4),Dairy & Fresh,64.05,264,264,29.3,33.2,31.5,0,3,1,0.0356,172,78,0,0,0
2026-01-08 15:00:00,2026-01-08,162,Greek Yogurt 400g (Batch 4),Dairy & Fresh,108.69,117,117,14.7,16.6,14.9,0,3,1,0.0185,81,37,0,0,0
2026-01-08 18:00:00,2026-01-08,163,Artisan Sourdough Bread (Batch 4),Bakery,107.74,90,90,15.8,16.1,14.8,0,1,1,0.1407,51,37,0,1,1
2026-01-08 21:00:00,2026-01-08,164,Sparkling Spring Water 500ml (Batch 4),Beverages,42.33,277,277,28.5,29.9,30.5,0,6,2,0.0279,259,76,0,0,0
2026-01-09 00:00:00,2026-01-09,165,Cold Pressed Orange Juice 1L (Batch 4),Beverages,190.32,20,20,7.3,7.3,7.0,0,1,1,0.0171,24,17,0,1,1
2026-01-09 03:00:00,2026-01-09,166,Premium Arabica Coffee 250g (Batch 4),Packaged Foods,496.0,27,27,6.4,6.9,6.8,0,7,1,0.0917,64,17,0,1,1
2026-01-09 06:00:00,2026-01-09,167,Organic Rolled Oats 1kg (Batch 4),Packaged Foods,238.47,76,76,21.9,21.4,20.1,0,6,0,0.0444,170,50,0,1,1
2026-01-09 09:00:00,2026-01-09,168,Dark Chocolate Bar 70% (Batch 4),Snacks & Confectionery,180.81,474,474,21.1,18.6,21.5,0,4,2,0.0335,139,53,0,0,0
2026-01-09 12:00:00,2026-01-09,169,Almond Granola Bites (Batch 4),Snacks & Confectionery,274.7,31,31,11.8,11.0,11.9,0,3,1,0.0243,64,29,0,1,1
2026-01-09 15:00:00,2026-01-09,170,Antibacterial Hand Wash 500ml (Batch 4),Personal Care,162.3,199,199,14.5,15.6,15.6,0,6,1,0.0903,132,39,0,0,0
2026-01-09 18:00:00,2026-01-09,171,Hydrating Shampoo 400ml (Batch 4),Personal Care,348.5,2,2,10.9,11.9,10.3,0,2,2,0.0224,45,25,0,1,1
2026-01-09 21:00:00,2026-01-09,172,Biodegradable Dish Soap 1L (Batch 4),Household & Cleaning,194.11,46,46,8.2,8.5,7.6,0,7,2,0.0703,72,19,0,1,1
2026-01-10 00:00:00,2026-01-10,173,Microfiber Cleaning Cloths 4-Pack (Batch 4),Household & Cleaning,195.3,347,347,11.0,11.6,11.9,0,6,0,0.1393,100,29,0,0,0
2026-01-10 03:00:00,2026-01-10,174,USB-C Fast Charging Cable 2m (Batch 4),Electronics & Accessories,451.13,204,204,12.8,11.0,12.2,-5,9,2,0.1146,139,30,0,0,0
2026-01-10 06:00:00,2026-01-10,175,Wireless Optical Mouse (Batch 4),Electronics & Accessories,876.45,36,36,7.4,7.0,7.1,0,9,1,0.0206,80,17,0,1,1
2026-01-10 09:00:00,2026-01-10,176,Organic Whole Milk 1L (Batch 5),Dairy & Fresh,62.17,776,776,31.2,28.6,28.7,0,5,0,0.0376,214,71,0,0,0
2026-01-10 12:00:00,2026-01-10,177,Greek Yogurt 400g (Batch 5),Dairy & Fresh,136.4,73,73,19.1,16.7,18.5,-5,5,1,0.1287,138,46,0,1,1
2026-01-10 15:00:00,2026-01-10,178,Artisan Sourdough Bread (Batch 5),Bakery,98.75,189,189,22.2,21.3,23.2,-34,5,7,0.0493,174,58,1,0,0
2026-01-10 18:00:00,2026-01-10,179,Sparkling Spring Water 500ml (Batch 5),Beverages,38.1,532,532,29.6,33.4,27.3,-2,10,2,0.0515,341,68,0,0,0
2026-01-10 21:00:00,2026-01-10,180,Cold Pressed Orange Juice 1L (Batch 5),Beverages,163.4,117,117,16.0,7.0,14.6,-5,7,1,0.0142,138,36,0,0,0
2026-01-11 00:00:00,2026-01-11,181,Premium Arabica Coffee 250g (Batch 5),Packaged Foods,417.49,74,74,8.9,8.6,9.7,-2,5,1,0.072,72,24,0,0,0
2026-01-11 03:00:00,2026-01-11,182,Organic Rolled Oats 1kg (Batch 5),Packaged Foods,194.91,119,119,10.4,9.8,10.0,0,8,1,0.0396,105,25,0,0,0
2026-01-11 06:00:00,2026-01-11,183,Dark Chocolate Bar 70% (Batch 5),Snacks & Confectionery,177.17,278,278,26.5,25.0,26.1,0,10,1,0.0453,326,65,0,0,0
2026-01-11 09:00:00,2026-01-11,184,Almond Granola Bites (Batch 5),Snacks & Confectionery,218.74,198,198,7.6,7.9,7.3,0,11,1,0.005,98,18,0,0,0
2026-01-11 12:00:00,2026-01-11,185,Antibacterial Hand Wash 500ml (Batch 5),Personal Care,160.16,40,40,12.2,12.9,11.1,0,12,1,0.0283,160,27,0,1,1
2026-01-11 15:00:00,2026-01-11,186,Hydrating Shampoo 400ml (Batch 5),Personal Care,320.34,327,327,10.5,15.1,10.5,0,6,3,0.1851,89,26,0,0,0
2026-01-11 18:00:00,2026-01-11,187,Biodegradable Dish Soap 1L (Batch 5),Household & Cleaning,189.4,18,3,18.8,20.8,19.1,-19,5,7,0.1981,142,47,1,1,1
2026-01-11 21:00:00,2026-01-11,188,Microfiber Cleaning Cloths 4-Pack (Batch 5),Household & Cleaning,185.28,77,77,7.4,8.2,7.4,0,6,0,0.162,62,18,0,0,0
2026-01-12 00:00:00,2026-01-12,189,USB-C Fast Charging Cable 2m (Batch 5),Electronics & Accessories,396.05,221,221,8.2,4.1,7.5,0,21,1,0.1011,175,18,0,0,0
2026-01-12 03:00:00,2026-01-12,190,Wireless Optical Mouse (Batch 5),Electronics & Accessories,787.5,418,418,6.3,6.2,6.5,0,17,0,0.0051,126,16,0,0,0
2026-01-12 06:00:00,2026-01-12,191,Organic Whole Milk 1L (Batch 6),Dairy & Fresh,74.17,411,411,35.3,31.4,37.3,0,2,1,0.0621,167,93,0,0,0
2026-01-12 09:00:00,2026-01-12,192,Greek Yogurt 400g (Batch 6),Dairy & Fresh,119.6,270,270,19.7,20.1,21.5,0,3,1,0.0294,117,53,0,0,0
2026-01-12 12:00:00,2026-01-12,193,Artisan Sourdough Bread (Batch 6),Bakery,101.95,35,35,5.9,5.5,5.5,0,1,5,0.0726,18,13,0,1,1
2026-01-12 15:00:00,2026-01-12,194,Sparkling Spring Water 500ml (Batch 6),Beverages,40.08,322,322,35.2,43.0,38.4,-2,2,1,0.0412,172,96,0,0,0
2026-01-12 18:00:00,2026-01-12,195,Cold Pressed Orange Juice 1L (Batch 6),Beverages,202.77,110,110,9.5,10.9,9.7,0,4,3,0.0594,62,24,0,0,0
2026-01-12 21:00:00,2026-01-12,196,Premium Arabica Coffee 250g (Batch 6),Packaged Foods,460.88,11,11,6.3,6.7,5.7,3,2,4,0.0399,25,14,0,1,1
2026-01-13 00:00:00,2026-01-13,197,Organic Rolled Oats 1kg (Batch 6),Packaged Foods,214.93,455,455,12.3,11.0,12.8,0,9,1,0.0131,147,32,0,0,0
2026-01-13 03:00:00,2026-01-13,198,Dark Chocolate Bar 70% (Batch 6),Snacks & Confectionery,178.01,95,95,16.1,16.6,15.4,-18,7,5,0.0607,145,38,1,1,1
2026-01-13 06:00:00,2026-01-13,199,Almond Granola Bites (Batch 6),Snacks & Confectionery,217.89,2,2,9.8,10.4,10.5,0,3,1,0.0449,57,26,0,1,1
2026-01-13 09:00:00,2026-01-13,200,Antibacterial Hand Wash 500ml (Batch 6),Personal Care,157.29,126,126,18.9,21.0,19.5,0,17,1,0.0755,379,48,0,1,1
2026-01-13 12:00:00,2026-01-13,201,Hydrating Shampoo 400ml (Batch 6),Personal Care,350.51,21,1,10.0,9.7,10.4,-10,7,10,0.2257,98,26,1,1,1
2026-01-13 15:00:00,2026-01-13,202,Biodegradable Dish Soap 1L (Batch 6),Household & Cleaning,196.96,79,79,7.9,8.7,8.6,0,9,7,0.0342,98,21,0,0,0
2026-01-13 18:00:00,2026-01-13,203,Microfiber Cleaning Cloths 4-Pack (Batch 6),Household & Cleaning,190.83,25,25,8.3,8.3,7.5,0,3,0,0.0581,40,18,0,1,1
2026-01-13 21:00:00,2026-01-13,204,USB-C Fast Charging Cable 2m (Batch 6),Electronics & Accessories,387.92,128,128,8.6,9.6,9.3,-40,15,4,0.0078,162,23,1,0,0
2026-01-14 00:00:00,2026-01-14,205,Wireless Optical Mouse (Batch 6),Electronics & Accessories,754.1,124,124,8.9,8.8,9.1,0,11,0,0.1319,122,22,0,0,0
2026-01-14 03:00:00,2026-01-14,206,Organic Whole Milk 1L (Batch 7),Dairy & Fresh,72.39,200,200,20.3,22.2,21.7,0,3,1,0.0868,119,54,0,0,0
2026-01-14 06:00:00,2026-01-14,207,Greek Yogurt 400g (Batch 7),Dairy & Fresh,137.19,223,30,12.7,10.8,13.3,-14,6,9,0.1819,112,33,1,1,1
2026-01-14 09:00:00,2026-01-14,208,Artisan Sourdough Bread (Batch 7),Bakery,97.79,39,39,17.5,15.6,17.7,0,2,0,0.0429,79,44,0,1,1
2026-01-14 12:00:00,2026-01-14,209,Sparkling Spring Water 500ml (Batch 7),Beverages,37.57,56,56,32.6,33.0,31.3,0,4,2,0.0942,203,78,0,1,1
2026-01-14 15:00:00,2026-01-14,210,Cold Pressed Orange Juice 1L (Batch 7),Beverages,183.7,5,5,9.8,10.1,9.4,0,7,3,0.0699,88,23,0,1,1
2026-01-14 18:00:00,2026-01-14,211,Premium Arabica Coffee 250g (Batch 7),Packaged Foods,442.51,245,37,8.6,9.8,9.1,-6,9,5,0.2902,103,22,1,1,1
2026-01-14 21:00:00,2026-01-14,212,Organic Rolled Oats 1kg (Batch 7),Packaged Foods,222.11,198,38,11.6,14.1,11.4,-5,8,5,0.2059,119,28,1,1,1
2026-01-15 00:00:00,2026-01-15,213,Dark Chocolate Bar 70% (Batch 7),Snacks & Confectionery,146.02,46,46,18.2,20.6,17.2,0,7,2,0.0532,163,43,0,1,1
2026-01-15 03:00:00,2026-01-15,214,Almond Granola Bites (Batch 7),Snacks & Confectionery,255.24,87,87,12.5,10.9,13.5,0,4,1,0.0526,87,33,0,0,0
2026-01-15 06:00:00,2026-01-15,215,Antibacterial Hand Wash 500ml (Batch 7),Personal Care,158.44,97,97,15.8,17.6,17.1,0,5,2,0.068,127,42,0,1,1
2026-01-15 09:00:00,2026-01-15,216,Hydrating Shampoo 400ml (Batch 7),Personal Care,290.26,56,56,7.6,9.3,7.6,-2,7,1,0.0414,72,19,0,1,1
2026-01-15 12:00:00,2026-01-15,217,Biodegradable Dish Soap 1L (Batch 7),Household & Cleaning,188.74,31,31,10.1,12.4,10.8,0,10,0,0.0843,135,27,0,1,1
2026-01-15 15:00:00,2026-01-15,218,Microfiber Cleaning Cloths 4-Pack (Batch 7),Household & Cleaning,185.17,102,102,4.9,4.5,4.9,0,4,2,0.0149,31,12,0,0,0
2026-01-15 18:00:00,2026-01-15,219,USB-C Fast Charging Cable 2m (Batch 7),Electronics & Accessories,422.08,11,11,8.0,7.7,7.5,0,7,0,0.1443,70,18,0,1,1
2026-01-15 21:00:00,2026-01-15,220,Wireless Optical Mouse (Batch 7),Electronics & Accessories,883.17,252,23,7.3,8.1,7.9,-17,13,9,0.2197,121,19,1,1,1
2026-01-16 00:00:00,2026-01-16,221,Organic Whole Milk 1L (Batch 8),Dairy & Fresh,74.7,160,160,14.4,13.9,13.2,0,5,4,0.043,99,33,0,0,0
2026-01-16 03:00:00,2026-01-16,222,Greek Yogurt 400g (Batch 8),Dairy & Fresh,130.27,47,47,13.2,13.6,13.6,0,4,2,0.063,88,34,0,1,1
2026-01-16 06:00:00,2026-01-16,223,Artisan Sourdough Bread (Batch 8),Bakery,105.02,117,117,18.0,16.8,19.6,0,2,2,0.0062,88,49,0,1,1
2026-01-16 09:00:00,2026-01-16,224,Sparkling Spring Water 500ml (Batch 8),Beverages,40.32,8,8,23.6,20.4,24.4,0,8,2,0.0545,256,61,0,1,1
2026-01-16 12:00:00,2026-01-16,225,Cold Pressed Orange Juice 1L (Batch 8),Beverages,163.01,33,33,9.6,10.0,9.0,0,9,3,0.0063,103,22,0,1,1
2026-01-16 15:00:00,2026-01-16,226,Premium Arabica Coffee 250g (Batch 8),Packaged Foods,447.65,8,8,3.8,4.2,3.8,0,10,0,0.0099,47,9,0,1,1
2026-01-16 18:00:00,2026-01-16,227,Organic Rolled Oats 1kg (Batch 8),Packaged Foods,192.18,42,42,20.7,20.4,21.5,0,7,1,0.0304,203,53,0,1,1
2026-01-16 21:00:00,2026-01-16,228,Dark Chocolate Bar 70% (Batch 8),Snacks & Confectionery,183.05,436,47,20.8,21.4,21.2,-5,5,7,0.3466,159,53,1,1,1
2026-01-17 00:00:00,2026-01-17,229,Almond Granola Bites (Batch 8),Snacks & Confectionery,225.96,18,18,9.9,10.3,9.4,-2,1,1,0.0507,32,23,0,1,1
2026-01-17 03:00:00,2026-01-17,230,Antibacterial Hand Wash 500ml (Batch 8),Personal Care,136.15,368,368,17.0,19.5,16.6,0,9,3,0.0411,190,41,0,0,0
2026-01-17 06:00:00,2026-01-17,231,Hydrating Shampoo 400ml (Batch 8),Personal Care,343.88,390,390,8.3,12.7,8.3,0,12,2,0.0949,119,20,0,0,0
2026-01-17 09:00:00,2026-01-17,232,Biodegradable Dish Soap 1L (Batch 8),Household & Cleaning,187.04,82,82,22.9,24.6,23.5,0,2,5,0.2224,105,58,0,1,1
2026-01-17 12:00:00,2026-01-17,233,Microfiber Cleaning Cloths 4-Pack (Batch 8),Household & Cleaning,196.22,70,70,6.2,6.6,6.2,0,7,3,0.007,58,15,0,0,0
2026-01-17 15:00:00,2026-01-17,234,USB-C Fast Charging Cable 2m (Batch 8),Electronics & Accessories,450.37,203,203,7.5,7.6,7.7,0,10,0,0.0537,96,19,0,0,0
2026-01-17 18:00:00,2026-01-17,235,Wireless Optical Mouse (Batch 8),Electronics & Accessories,785.46,6,6,4.5,4.7,4.2,0,12,1,0.044,60,10,0,1,1
2026-01-17 21:00:00,2026-01-17,236,Organic Whole Milk 1L (Batch 9),Dairy & Fresh,62.94,182,182,16.6,15.6,15.3,0,6,4,0.0894,129,38,0,0,0
2026-01-18 00:00:00,2026-01-18,237,Greek Yogurt 400g (Batch 9),Dairy & Fresh,136.5,12,12,9.6,9.3,9.4,0,2,1,0.1528,41,23,0,1,1
2026-01-18 03:00:00,2026-01-18,238,Artisan Sourdough Bread (Batch 9),Bakery,87.3,122,122,18.3,19.4,18.7,0,1,0,0.0403,64,46,0,1,1
2026-01-18 06:00:00,2026-01-18,239,Sparkling Spring Water 500ml (Batch 9),Beverages,37.16,8,8,17.5,9.0,16.2,0,15,3,0.0132,283,40,0,1,1
2026-01-18 09:00:00,2026-01-18,240,Cold Pressed Orange Juice 1L (Batch 9),Beverages,167.34,420,420,16.1,14.5,16.6,0,5,3,0.0239,124,41,0,0,0
2026-01-18 12:00:00,2026-01-18,241,Premium Arabica Coffee 250g (Batch 9),Packaged Foods,451.48,93,93,5.5,5.0,5.2,0,6,2,0.0636,44,13,0,0,0
2026-01-18 15:00:00,2026-01-18,242,Organic Rolled Oats 1kg (Batch 9),Packaged Foods,211.49,60,60,17.5,17.2,17.1,0,8,3,0.0864,178,42,0,1,1
2026-01-18 18:00:00,2026-01-18,243,Dark Chocolate Bar 70% (Batch 9),Snacks & Confectionery,145.03,125,26,19.3,21.8,18.1,-17,5,5,0.1732,135,45,1,1,1
2026-01-18 21:00:00,2026-01-18,244,Almond Granola Bites (Batch 9),Snacks & Confectionery,268.1,127,127,13.7,11.8,14.0,0,9,1,0.0269,161,35,0,0,0
2026-01-19 00:00:00,2026-01-19,245,Antibacterial Hand Wash 500ml (Batch 9),Personal Care,145.38,28,28,11.1,9.8,10.2,0,2,2,0.0807,45,25,0,1,1
2026-01-19 03:00:00,2026-01-19,246,Hydrating Shampoo 400ml (Batch 9),Personal Care,360.86,161,161,7.8,8.5,7.9,-23,8,6,0.0436,82,19,1,0,0
2026-01-19 06:00:00,2026-01-19,247,Biodegradable Dish Soap 1L (Batch 9),Household & Cleaning,194.97,45,45,8.8,8.8,9.0,0,8,2,0.0641,94,22,0,1,1
2026-01-19 09:00:00,2026-01-19,248,Microfiber Cleaning Cloths 4-Pack (Batch 9),Household & Cleaning,189.11,13,13,8.4,8.8,8.7,0,5,3,0.0344,64,21,0,1,1
2026-01-19 12:00:00,2026-01-19,249,USB-C Fast Charging Cable 2m (Batch 9),Electronics & Accessories,398.79,392,392,16.7,16.0,16.8,0,16,2,0.0781,310,42,0,0,0
